#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-04-09T04:55:02 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ51639e377e2d 
#INFO -out.max=unlimited 
#INFO queryParameters=17 
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJS/199/38&tab:{J/ApJS/199/38/table2}&key:source=J/ApJS/199/38/table2&HTTPPRM:&-ref=VIZ51639e377e2d&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&
#-source=J/ApJS/199/38/table2
#-order=I
#-out=Param
#-out=M13
#-out=M15
#-out=M20
#-out=M25
#-out=M30
#-out=M35
#-out=M50
#-out=M80
#

#RESOURCE=yCat_21990038
#Name: J/ApJS/199/38
#Title: Presupernova evolution (Limongi+, 2012)
#Table J_ApJS_199_38_table2:
#Name: J/ApJS/199/38/table2
#Title: Explosion properties and ejected masses for all the computed models
#---Details of Columns:
    Param (A6)    Explosion property or isotope ejected mass (1) [ucd=meta.note]
    M13   (E9.2)  Param value in the 13 solar mass model [ucd=phys.mass]
    M15   (E9.2)  Param value in the 15 solar mass model [ucd=phys.mass]
    M20   (E9.2)  Param value in the 20 solar mass model [ucd=phys.mass]
    M25   (E9.2)  Param value in the 25 solar mass model [ucd=phys.mass]
    M30   (E9.2)  Param value in the 30 solar mass model [ucd=phys.mass]
    M35   (E9.2)  Param value in the 35 solar mass model [ucd=phys.mass]
    M50   (E9.2)  Param value in the 50 solar mass model [ucd=phys.mass]
    M80   (E9.2)  Param value in the 80 solar mass model [ucd=phys.mass]
                 
#Param	M13	  M15       M20       M25       M30       M35       M50       M80
------	--------- --------- --------- --------- --------- --------- --------- ---------
^67^Ga  3.02e-10  3.80e-10  2.22e-09  1.34e-09  4.77e-09  8.52e-09  3.00e-09  5.34e-09
^68^Ga  1.52e-14  1.64e-14  9.48e-14  4.99e-14  2.01e-13  6.75e-13  1.00e-13  1.47e-13
^69^Ga  2.30e-15  6.43e-16  5.79e-15  1.14e-15  1.53e-14  1.96e-14  2.30e-15  5.01e-14
^70^Ga  4.13e-20  4.14e-21  6.27e-21  1.92e-22  2.15e-19  1.52e-21  4.43e-21  1.16e-18
^71^Ga  3.39e-16  9.02e-16  3.16e-16  1.21e-17  1.12e-14  3.41e-16  3.29e-16  4.60e-14
^72^Ga  1.00e-18  6.61e-20  6.25e-19  4.97e-20  8.67e-17  9.25e-19  8.31e-19  1.42e-16
^64^Ge  7.24e-32  1.08e-39  1.44e-37  8.42e-35  1.18e-34  1.01e-37  1.50e-38  1.35e-35
^65^Ge  8.27e-33  1.85e-41  4.23e-42  8.23e-41  1.04e-39  9.11e-44  0.00e+00  2.26e-37
^66^Ge  5.06e-08  6.71e-08  3.25e-07  2.65e-07  8.64e-07  1.28e-06  6.47e-07  1.12e-06
^67^Ge  7.22e-17  8.31e-17  5.57e-16  3.24e-16  1.15e-15  1.90e-15  6.72e-16  1.16e-15
^68^Ge  9.33e-11  1.01e-10  5.84e-10  3.07e-10  1.23e-09  4.15e-09  6.17e-10  9.03e-10
^69^Ge  3.02e-15  2.90e-15  2.50e-14  7.48e-15  4.13e-14  1.42e-13  1.42e-14  2.26e-14
^70^Ge  7.93e-14  2.91e-14  2.80e-13  1.79e-14  2.58e-13  1.03e-13  1.91e-14  9.68e-13
^71^Ge  8.02e-17  3.56e-17  1.69e-16  2.31e-17  1.13e-15  9.83e-16  6.32e-17  2.34e-15
^72^Ge  9.43e-14  3.67e-14  3.52e-13  2.25e-14  3.09e-13  9.95e-14  2.34e-14  1.13e-12
^73^Ge  1.74e-16  1.05e-16  3.15e-16  1.71e-17  9.10e-15  5.13e-16  1.91e-16  2.74e-14
^74^Ge  1.17e-15  3.63e-14  2.53e-14  3.16e-16  6.74e-14  1.53e-14  1.16e-15  1.97e-13
^75^Ge  2.39e-19  8.77e-20  1.23e-18  4.05e-20  1.58e-17  2.99e-18  1.10e-19  2.91e-17
^76^Ge  1.02e-18  3.80e-18  1.92e-18  2.74e-19  3.74e-17  5.66e-19  1.17e-19  2.05e-17
^77^Ge  8.29e-22  8.08e-22  1.59e-21  8.42e-22  7.31e-20  2.54e-22  1.21e-22  2.08e-20
^71^As  1.18e-16  8.81e-17  9.26e-16  2.24e-16  1.85e-15  1.25e-14  5.37e-16  9.12e-16
^72^As  3.21e-18  4.53e-19  1.29e-18  3.97e-20  1.09e-16  1.39e-18  2.27e-18  3.14e-16
^73^As  1.94e-16  7.03e-17  7.37e-16  5.02e-17  2.60e-15  1.34e-15  1.23e-16  1.04e-14
^74^As  6.51e-18  3.89e-18  6.86e-18  2.16e-19  1.50e-16  3.43e-18  1.79e-18  1.98e-16
^75^As  3.29e-16  3.76e-15  3.19e-15  6.03e-17  9.11e-15  1.93e-15  1.49e-16  2.57e-14
^76^As  9.80e-18  9.82e-18  3.99e-17  1.17e-18  5.70e-16  5.21e-17  3.87e-18  5.73e-16
^77^As  4.57e-18  2.14e-17  9.52e-18  7.37e-19  1.49e-16  2.13e-18  4.92e-19  7.05e-17
^74^Se  2.16e-13  8.08e-14  8.02e-13  5.12e-14  6.99e-13  3.36e-13  5.41e-14  2.66e-12
^75^Se  1.97e-15  1.01e-15  7.24e-15  8.03e-16  7.61e-15  4.76e-15  9.18e-16  2.04e-14
^76^Se  3.55e-13  1.72e-13  1.39e-12  8.81e-14  1.18e-12  4.79e-13  9.73e-14  4.51e-12
^77^Se  3.76e-16  1.63e-14  7.13e-15  1.20e-16  1.32e-14  4.64e-15  2.42e-16  3.67e-14
^78^Se  5.69e-15  2.96e-13  4.62e-13  1.68e-15  5.84e-14  2.90e-14  2.34e-15  2.39e-13
^79^Se  1.36e-16  6.42e-17  1.07e-14  1.79e-17  2.09e-15  2.55e-15  2.68e-17  3.12e-15
^80^Se  4.77e-15  1.27e-12  1.35e-12  2.68e-14  5.45e-13  1.88e-13  4.50e-13  3.58e-13
^81^Se  1.04e-20  9.36e-20  1.41e-18  1.90e-20  7.71e-19  1.90e-18  1.28e-19  3.75e-18
^82^Se  7.88e-18  1.51e-16  1.72e-16  3.70e-17  4.42e-16  5.83e-18  1.06e-17  4.48e-17
^83^Se  2.19e-24  3.91e-23  7.70e-23  1.86e-23  3.17e-22  4.13e-24  4.49e-24  4.54e-24
^75^Br  6.61e-18  8.20e-18  3.42e-17  1.92e-17  5.66e-17  2.08e-16  2.33e-17  2.89e-17
^76^Br  1.21e-18  1.89e-19  4.43e-18  2.20e-19  1.36e-16  9.39e-18  2.37e-18  2.28e-16
^77^Br  1.15e-16  4.14e-17  5.78e-16  3.65e-17  1.85e-15  1.24e-15  9.21e-17  7.26e-15
^78^Br  4.61e-22  1.98e-22  2.29e-21  1.52e-22  5.28e-21  1.33e-22  3.60e-23  3.17e-20
^79^Br  2.14e-15  7.66e-14  1.22e-13  5.75e-16  1.54e-14  7.13e-15  7.30e-16  7.94e-14
^80^Br  1.01e-19  2.20e-19  3.34e-18  6.03e-20  3.24e-18  4.55e-19  1.72e-19  3.43e-18
^81^Br  6.10e-15  3.28e-13  4.63e-13  4.78e-15  1.09e-13  3.66e-14  7.18e-14  1.02e-13
^82^Br  1.04e-16  5.26e-16  4.05e-15  1.11e-16  4.29e-15  6.06e-16  2.33e-16  1.78e-15
^83^Br  2.25e-17  1.54e-16  3.59e-16  2.75e-17  5.00e-16  9.03e-18  1.35e-17  6.28e-17
^78^Kr  1.16e-13  4.13e-14  4.40e-13  2.72e-14  3.59e-13  2.07e-13  2.90e-14  1.38e-12
^79^Kr  3.25e-15  1.48e-15  1.34e-14  8.66e-16  9.27e-15  2.35e-15  1.02e-15  3.17e-14
^80^Kr  6.53e-13  5.02e-13  3.11e-12  1.71e-13  2.25e-12  9.51e-13  2.25e-13  8.87e-12
^81^Kr  3.75e-15  5.65e-14  9.87e-14  9.21e-16  1.63e-14  6.55e-15  2.33e-15  4.26e-14
^82^Kr  1.77e-13  9.50e-13  1.94e-12  8.19e-14  6.08e-13  8.23e-13  9.91e-13  2.77e-12
^83^Kr  1.06e-14  1.22e-13  3.33e-13  1.92e-14  2.75e-14  2.56e-13  4.25e-13  2.38e-13
^84^Kr  3.70e-14  2.56e-11  3.44e-11  7.68e-13  3.58e-12  2.50e-12  4.84e-12  5.30e-11
^85^Kr  9.97e-16  9.35e-15  6.54e-13  3.60e-14  6.36e-14  7.44e-14  3.51e-13  2.05e-13
^86^Kr  8.50e-15  3.27e-14  1.01e-12  2.23e-13  5.96e-13  7.27e-13  4.39e-12  7.23e-12
^87^Kr  1.44e-20  4.80e-21  5.67e-19  4.83e-19  1.55e-18  6.70e-19  5.48e-18  1.73e-17
^79^Rb  1.44e-22  1.13e-22  7.29e-22  2.61e-22  2.30e-21  1.50e-21  2.47e-22  2.12e-21
^80^Rb  2.97e-28  3.83e-28  2.55e-25  2.12e-27  6.55e-27  9.89e-32  2.26e-31  5.35e-28
^81^Rb  7.14e-18  2.45e-18  1.13e-16  3.24e-18  2.02e-16  9.30e-17  2.69e-17  5.15e-16
^82^Rb  6.32e-18  2.67e-18  2.72e-16  4.92e-18  6.47e-16  8.50e-17  1.31e-16  4.70e-16
^83^Rb  2.83e-15  3.01e-15  4.55e-14  1.46e-15  1.89e-14  1.85e-14  5.61e-15  7.95e-14
^84^Rb  2.20e-16  4.69e-16  7.72e-15  2.22e-16  2.06e-15  1.22e-15  1.06e-15  7.26e-15
^85^Rb  2.48e-14  7.76e-12  1.03e-11  2.05e-13  1.14e-12  4.48e-12  1.49e-12  2.19e-11
^86^Rb  1.62e-15  1.30e-14  3.59e-13  1.08e-14  9.41e-14  2.08e-13  8.88e-13  7.55e-13
^87^Rb  2.32e-15  1.35e-14  2.55e-13  1.90e-14  5.07e-14  4.35e-13  4.95e-12  2.90e-12
^88^Rb  1.77e-22  1.31e-21  3.46e-20  2.54e-21  9.06e-21  2.84e-19  2.32e-20  6.58e-18
^84^Sr  2.06e-12  6.49e-13  7.97e-12  4.88e-13  6.53e-12  5.01e-12  5.09e-13  2.69e-11
^85^Sr  1.16e-13  4.61e-14  5.42e-13  3.21e-14  3.16e-13  1.47e-13  6.64e-14  1.47e-12
^86^Sr  3.45e-12  1.20e-11  4.84e-11  3.45e-12  1.53e-11  2.77e-11  1.32e-11  2.39e-09
^87^Sr  1.58e-13  2.78e-12  3.23e-11  3.04e-12  1.11e-12  3.19e-11  1.30e-11  4.09e-09
^88^Sr  4.69e-11  8.80e-10  7.55e-10  6.97e-12  7.68e-11  6.46e-10  1.16e-09  3.22e-09
^89^Sr  2.37e-15  3.59e-16  9.61e-13  6.40e-15  1.23e-13  1.55e-12  1.02e-10  2.27e-12
^90^Sr  1.20e-16  1.50e-16  3.08e-14  5.88e-16  3.42e-15  3.63e-14  2.02e-11  2.27e-14
^91^Sr  1.68e-20  6.35e-21  1.96e-18  1.65e-19  1.36e-18  3.76e-18  3.26e-20  1.59e-18
^85^Y   1.14e-18  2.52e-19  9.12e-18  5.63e-19  1.89e-17  2.42e-17  7.27e-18  7.89e-17
^86^Y   7.90e-18  3.54e-18  1.01e-15  3.33e-17  9.86e-16  1.01e-15  3.11e-15  7.36e-15
^87^Y   2.77e-15  3.08e-15  2.05e-13  9.08e-15  3.01e-14  1.43e-13  1.73e-13  2.35e-12
^88^Y   5.14e-15  7.04e-15  5.09e-13  2.57e-14  4.21e-14  3.18e-13  2.98e-13  4.51e-12
^89^Y   4.70e-12  3.09e-11  7.98e-11  2.96e-12  9.93e-12  4.46e-11  2.18e-11  1.54e-09
^90^Y   3.45e-15  5.03e-15  1.21e-13  7.86e-15  1.15e-14  7.29e-14  2.52e-14  1.05e-12
^91^Y   9.33e-16  5.77e-15  2.57e-14  3.63e-15  2.71e-15  4.22e-15  3.38e-15  1.25e-13
^90^Zr  7.86e-11  6.08e-11  3.02e-10  3.03e-11  4.21e-10  4.32e-10  1.48e-10  2.57e-09
^91^Zr  7.27e-12  2.49e-12  1.44e-11  1.80e-12  4.01e-12  7.74e-11  8.48e-11  4.29e-10
^92^Zr  7.86e-11  1.87e-10  3.39e-10  1.85e-11  8.16e-11  1.03e-10  9.95e-11  4.16e-09
^93^Zr  2.49e-11  1.42e-10  1.98e-10  6.52e-12  4.11e-12  1.69e-11  2.51e-11  2.94e-09
^94^Zr  7.25e-11  1.61e-10  4.66e-10  2.03e-10  2.31e-09  5.08e-09  1.90e-09  8.41e-09
^95^Zr  1.76e-13  2.54e-14  8.23e-12  7.60e-13  2.42e-11  7.64e-11  4.37e-10  3.04e-11
^96^Zr  3.07e-14  5.08e-14  1.14e-12  3.51e-13  2.41e-12  8.10e-12  4.52e-10  1.19e-12
^97^Zr  5.74e-19  3.88e-19  6.83e-18  1.90e-17  6.56e-16  9.02e-17  4.04e-18  3.18e-17
^91^Nb  2.91e-13  1.34e-13  2.97e-12  4.07e-13  6.42e-12  7.23e-12  6.06e-13  2.32e-11
^92^Nb  1.59e-14  9.70e-15  2.74e-13  3.80e-14  7.92e-13  5.74e-13  6.26e-14  2.23e-12
^93^Nb  1.52e-11  6.61e-11  5.57e-11  1.44e-12  1.14e-11  9.40e-12  2.11e-12  9.04e-11
^94^Nb  1.29e-14  7.42e-15  8.04e-13  3.31e-14  7.00e-13  4.02e-13  7.15e-14  2.75e-12
^95^Nb  1.40e-13  2.78e-14  4.16e-12  5.18e-14  1.72e-12  2.65e-11  1.20e-11  3.03e-12
^96^Nb  3.76e-15  1.91e-16  7.24e-14  1.25e-15  7.34e-14  8.55e-13  3.09e-14  3.78e-14
^97^Nb  1.17e-16  5.12e-17  1.50e-15  7.27e-17  1.82e-15  3.08e-15  4.79e-17  5.10e-16
^92^Mo  2.84e-11  6.96e-12  8.61e-11  4.74e-12  6.46e-11  4.89e-11  4.12e-12  2.29e-10
^93^Mo  1.45e-12  3.91e-13  4.60e-12  2.57e-13  4.05e-12  2.74e-12  2.70e-13  1.17e-11
^94^Mo  2.44e-11  1.11e-11  9.27e-11  5.22e-12  7.12e-11  5.17e-11  4.04e-12  2.44e-10
^95^Mo  6.31e-12  9.47e-12  4.41e-11  2.56e-11  2.21e-10  5.19e-10  2.56e-11  7.93e-10
^96^Mo  5.76e-11  2.62e-11  3.58e-10  7.71e-11  8.08e-10  1.99e-09  3.74e-10  3.32e-09
^97^Mo  1.26e-09  8.76e-10  1.88e-09  3.93e-11  2.80e-10  7.98e-10  1.33e-09  1.26e-08
^98^Mo  1.02e-10  1.19e-11  8.82e-10  4.41e-11  1.10e-10  4.39e-10  8.92e-12  2.23e-10
